Financial year,State/territory,School sector,Expenditure item,Total expenditure,Expenditure per student
2013/14,Victoria,Government,Total Australian/State/territory government expenditure,"$7,794,915,000 ","$13,924 "
2013/14,Victoria,All non-government,Australian Government,"$2,233,496,000 ","$6,752 "
2013/14,Victoria,All non-government,State and territory governments,"$643,410,000 ","$1,945 "
2013/14,Victoria,All non-government,Total Australian/State/territory government expenditure,"$2,876,906,000 ","$8,697 "
2013/14,Victoria,All,Australian Government,"$3,351,958,000 ","$3,764 "
2013/14,Victoria,All,State and territory governments,"$7,319,863,000 ","$8,219 "
2013/14,Victoria,All,Total Australian/State/territory government expenditure,"$10,671,821,000 ","$11,982 "
2013/14,Queensland,Government,Australian Government,"$1,034,244,000 ","$2,013 "
2013/14,Queensland,Government,State and territory governments,"$6,963,264,000 ","$13,550 "
2013/14,Queensland,Government,Total Australian/State/territory government expenditure,"$7,997,508,000 ","$15,563 "
2013/14,Queensland,All non-government,Australian Government,"$1,800,572,000 ","$7,025 "
2013/14,Queensland,All non-government,State and territory governments,"$708,588,000 ","$2,765 "
2013/14,Queensland,All non-government,Total Australian/State/territory government expenditure,"$2,509,160,000 ","$9,790 "
2013/14,Queensland,All,Australian Government,"$2,834,816,000 ","$3,681 "
2013/14,Queensland,All,State and territory governments,"$7,671,852,000 ","$9,961 "
2013/14,Queensland,All,Total Australian/State/territory government expenditure,"$10,506,668,000 ","$13,642 "
2013/14,South Australia,Government,Australian Government,"$369,560,000 ","$2,214 "
2013/14,South Australia,Government,State and territory governments,"$2,405,064,000 ","$14,410 "
2013/14,South Australia,Government,Total Australian/State/territory government expenditure,"$2,774,624,000 ","$16,624 "
2013/14,South Australia,All non-government,Australian Government,"$681,605,000 ","$7,193 "
2013/14,South Australia,All non-government,State and territory governments,"$174,531,000 ","$1,842 "
2013/14,South Australia,All non-government,Total Australian/State/territory government expenditure,"$856,136,000 ","$9,034 "
2013/14,South Australia,All,Australian Government,"$1,051,165,000 ","$4,017 "
2013/14,South Australia,All,State and territory governments,"$2,579,595,000 ","$9,858 "
2013/14,South Australia,All,Total Australian/State/territory government expenditure,"$3,630,760,000 ","$13,875 "
2013/14,Western Australia,Government,Australian Government,"$496,108,000 ","$1,934 "
2013/14,Western Australia,Government,State and territory governments,"$4,497,124,000 ","$17,528 "
2013/14,Western Australia,Government,Total Australian/State/territory government expenditure,"$4,993,232,000 ","$19,462 "
2013/14,Western Australia,All non-government,Australian Government,"$892,695,000 ","$6,736 "
2013/14,Western Australia,All non-government,State and territory governments,"$424,120,000 ","$3,200 "
2013/14,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,316,815,000 ","$9,937 "
2013/14,Western Australia,All,Australian Government,"$1,388,803,000 ","$3,569 "
2013/14,Western Australia,All,State and territory governments,"$4,921,244,000 ","$12,648 "
2013/14,Western Australia,All,Total Australian/State/territory government expenditure,"$6,310,047,000 ","$16,218 "
2013/14,Tasmania,Government,Australian Government,"$134,371,000 ","$2,376 "
2013/14,Tasmania,Government,State and territory governments,"$811,591,000 ","$14,349 "
2013/14,Tasmania,Government,Total Australian/State/territory government expenditure,"$945,962,000 ","$16,724 "
2013/14,Tasmania,All non-government,Australian Government,"$178,076,000 ","$7,423 "
2013/14,Tasmania,All non-government,State and territory governments,"$58,890,000 ","$2,455 "
2013/14,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$236,966,000 ","$9,877 "
2013/14,Tasmania,All,Australian Government,"$312,447,000 ","$3,879 "
2013/14,Tasmania,All,State and territory governments,"$870,481,000 ","$10,806 "
2013/14,Tasmania,All,Total Australian/State/territory government expenditure,"$1,182,928,000 ","$14,685 "
2013/14,Northern Territory,Government,Australian Government,"$138,238,000 ","$4,691 "
2013/14,Northern Territory,Government,State and territory governments,"$554,425,000 ","$18,815 "
2013/14,Northern Territory,Government,Total Australian/State/territory government expenditure,"$692,663,000 ","$23,506 "
2013/14,Northern Territory,All non-government,Australian Government,"$119,807,000 ","$10,745 "
2013/14,Northern Territory,All non-government,State and territory governments,"$60,878,000 ","$5,460 "
2013/14,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$180,685,000 ","$16,205 "
2013/14,Northern Territory,All,Australian Government,"$258,045,000 ","$6,353 "
2013/14,Northern Territory,All,State and territory governments,"$615,303,000 ","$15,149 "
2013/14,Northern Territory,All,Total Australian/State/territory government expenditure,"$873,348,000 ","$21,502 "
2013/14,Australian Capital Territory,Government,Australian Government,"$71,736,000 ","$1,947 "
2013/14,Australian Capital Territory,Government,State and territory governments,"$706,014,000 ","$19,164 "
2013/14,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$777,750,000 ","$21,112 "
2013/14,Australian Capital Territory,All non-government,Australian Government,"$163,769,000 ","$6,044 "
2013/14,Australian Capital Territory,All non-government,State and territory governments,"$57,425,000 ","$2,119 "
2013/14,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$221,194,000 ","$8,163 "
2013/14,Australian Capital Territory,All,Australian Government,"$235,505,000 ","$3,683 "
2013/14,Australian Capital Territory,All,State and territory governments,"$763,439,000 ","$11,940 "
2013/14,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$998,944,000 ","$15,624 "
2013/14,Australia,Government,Australian Government,"$4,899,631,000 ","$2,059 "
2013/14,Australia,Government,State and territory governments,"$33,570,521,000 ","$14,108 "
2013/14,Australia,Government,Total Australian/State/territory government expenditure,"$38,470,152,000 ","$16,167 "
2013/14,Australia,All non-government,Australian Government,"$8,817,739,000 ","$6,898 "
2013/14,Australia,All non-government,State and territory governments,"$3,105,886,000 ","$2,430 "
2013/14,Australia,All non-government,Total Australian/State/territory government expenditure,"$11,923,625,000 ","$9,327 "
2013/14,Australia,All,Australian Government,"$13,717,370,000 ","$3,750 "
2013/14,Australia,All,State and territory governments,"$36,676,407,000 ","$10,027 "
2013/14,Australia,All,Total Australian/State/territory government expenditure,"$50,393,777,000 ","$13,777 "
2012/13,New South Wales,Government,Australian Government,"$1,481,350,000 ","$1,970 "
2012/13,New South Wales,Government,State and territory governments,"$10,100,240,000 ","$13,435 "
2012/13,New South Wales,Government,Total Australian/State/territory government expenditure,"$11,581,590,000 ","$15,405 "
2012/13,New South Wales,All non-government,Australian Government,"$2,520,987,000 ","$6,386 "
2012/13,New South Wales,All non-government,State and territory governments,"$935,149,000 ","$2,369 "
2012/13,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$3,456,136,000 ","$8,754 "
2012/13,New South Wales,All,Australian Government,"$4,002,337,000 ","$3,491 "
2012/13,New South Wales,All,State and territory governments,"$11,035,389,000 ","$9,625 "
2012/13,New South Wales,All,Total Australian/State/territory government expenditure,"$15,037,726,000 ","$13,115 "
2012/13,Victoria,Government,Australian Government,"$1,010,582,000 ","$1,836 "
2012/13,Victoria,Government,State and territory governments,"$6,579,892,000 ","$11,952 "
2012/13,Victoria,Government,Total Australian/State/territory government expenditure,"$7,590,474,000 ","$13,787 "
2012/13,Victoria,All non-government,Australian Government,"$2,073,090,000 ","$6,379 "
2012/13,Victoria,All non-government,State and territory governments,"$631,308,000 ","$1,943 "
2012/13,Victoria,All non-government,Total Australian/State/territory government expenditure,"$2,704,398,000 ","$8,322 "
2012/13,Victoria,All,Australian Government,"$3,083,672,000 ","$3,522 "
2012/13,Victoria,All,State and territory governments,"$7,211,200,000 ","$8,237 "
2012/13,Victoria,All,Total Australian/State/territory government expenditure,"$10,294,872,000 ","$11,759 "
2012/13,Queensland,Government,Australian Government,"$914,923,000 ","$1,811 "
2012/13,Queensland,Government,State and territory governments,"$6,934,084,000 ","$13,727 "
2012/13,Queensland,Government,Total Australian/State/territory government expenditure,"$7,849,007,000 ","$15,538 "
2012/13,Queensland,All non-government,Australian Government,"$1,650,113,000 ","$6,542 "
2012/13,Queensland,All non-government,State and territory governments,"$637,757,000 ","$2,528 "
2012/13,Queensland,All non-government,Total Australian/State/territory government expenditure,"$2,287,870,000 ","$9,070 "
2012/13,Queensland,All,Australian Government,"$2,565,036,000 ","$3,387 "
2012/13,Queensland,All,State and territory governments,"$7,571,841,000 ","$9,997 "
2012/13,Queensland,All,Total Australian/State/territory government expenditure,"$10,136,877,000 ","$13,384 "
2012/13,South Australia,Government,Australian Government,"$341,737,000 ","$2,046 "
2012/13,South Australia,Government,State and territory governments,"$2,362,926,000 ","$14,145 "
2012/13,South Australia,Government,Total Australian/State/territory government expenditure,"$2,704,663,000 ","$16,191 "
2012/13,South Australia,All non-government,Australian Government,"$639,397,000 ","$6,776 "
2012/13,South Australia,All non-government,State and territory governments,"$170,216,000 ","$1,804 "
2012/13,South Australia,All non-government,Total Australian/State/territory government expenditure,"$809,613,000 ","$8,580 "
2012/13,South Australia,All,Australian Government,"$981,134,000 ","$3,753 "
2012/13,South Australia,All,State and territory governments,"$2,533,142,000 ","$9,690 "
2012/13,South Australia,All,Total Australian/State/territory government expenditure,"$3,514,276,000 ","$13,444 "
2012/13,Western Australia,Government,Australian Government,"$446,128,000 ","$1,786 "
2012/13,Western Australia,Government,State and territory governments,"$4,267,546,000 ","$17,089 "
2012/13,Western Australia,Government,Total Australian/State/territory government expenditure,"$4,713,674,000 ","$18,875 "
2012/13,Western Australia,All non-government,Australian Government,"$818,779,000 ","$6,268 "
2012/13,Western Australia,All non-government,State and territory governments,"$416,012,000 ","$3,185 "
2012/13,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,234,791,000 ","$9,453 "
2012/13,Western Australia,All,Australian Government,"$1,264,907,000 ","$3,326 "
2012/13,Western Australia,All,State and territory governments,"$4,683,558,000 ","$12,313 "
2012/13,Western Australia,All,Total Australian/State/territory government expenditure,"$5,948,465,000 ","$15,639 "
2012/13,Tasmania,Government,Australian Government,"$123,429,000 ","$2,162 "
2012/13,Tasmania,Government,State and territory governments,"$802,378,000 ","$14,053 "
2012/13,Tasmania,Government,Total Australian/State/territory government expenditure,"$925,807,000 ","$16,215 "
2012/13,Tasmania,All non-government,Australian Government,"$163,453,000 ","$6,869 "
2012/13,Tasmania,All non-government,State and territory governments,"$55,323,000 ","$2,325 "
2012/13,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$218,776,000 ","$9,193 "
2012/13,Tasmania,All,Australian Government,"$286,882,000 ","$3,546 "
2012/13,Tasmania,All,State and territory governments,"$857,701,000 ","$10,603 "
2012/13,Tasmania,All,Total Australian/State/territory government expenditure,"$1,144,583,000 ","$14,149 "
2012/13,Northern Territory,Government,Australian Government,"$114,039,000 ","$3,873 "
2012/13,Northern Territory,Government,State and territory governments,"$615,248,000 ","$20,896 "
2012/13,Northern Territory,Government,Total Australian/State/territory government expenditure,"$729,287,000 ","$24,769 "
2012/13,Northern Territory,All non-government,Australian Government,"$87,173,000 ","$8,086 "
2012/13,Northern Territory,All non-government,State and territory governments,"$63,185,000 ","$5,861 "
2012/13,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$150,358,000 ","$13,947 "
2012/13,Northern Territory,All,Australian Government,"$201,212,000 ","$5,002 "
2012/13,Northern Territory,All,State and territory governments,"$678,433,000 ","$16,866 "
2012/13,Northern Territory,All,Total Australian/State/territory government expenditure,"$879,645,000 ","$21,868 "
2012/13,Australian Capital Territory,Government,Australian Government,"$62,890,000 ","$1,747 "
2012/13,Australian Capital Territory,Government,State and territory governments,"$695,411,000 ","$19,318 "
2012/13,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$758,301,000 ","$21,065 "
2012/13,Australian Capital Territory,All non-government,Australian Government,"$143,482,000 ","$5,364 "
2012/13,Australian Capital Territory,All non-government,State and territory governments,"$53,151,000 ","$1,987 "
2012/13,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$196,633,000 ","$7,352 "
2012/13,Australian Capital Territory,All,Australian Government,"$206,372,000 ","$3,289 "
2012/13,Australian Capital Territory,All,State and territory governments,"$748,562,000 ","$11,930 "
2012/13,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$954,934,000 ","$15,219 "
2012/13,Australia,Government,Australian Government,"$4,495,078,000 ","$1,915 "
2012/13,Australia,Government,State and territory governments,"$32,357,725,000 ","$13,788 "
2012/13,Australia,Government,Total Australian/State/territory government expenditure,"$36,852,803,000 ","$15,703 "
2012/13,Australia,All non-government,Australian Government,"$8,096,474,000 ","$6,434 "
2012/13,Australia,All non-government,State and territory governments,"$2,962,102,000 ","$2,354 "
2012/13,Australia,All non-government,Total Australian/State/territory government expenditure,"$11,058,576,000 ","$8,789 "
2012/13,Australia,All,Australian Government,"$12,591,552,000 ","$3,493 "
2012/13,Australia,All,State and territory governments,"$35,319,827,000 ","$9,797 "
2012/13,Australia,All,Total Australian/State/territory government expenditure,"$47,911,379,000 ","$13,290 "
2011/12,New South Wales,Government,Australian Government,"$1,515,812,000 ","$2,030 "
2011/12,New South Wales,Government,State and territory governments,"$10,223,403,000 ","$13,688 "
2011/12,New South Wales,Government,Total Australian/State/territory government expenditure,"$11,739,215,000 ","$15,718 "
2011/12,New South Wales,All non-government,Australian Government,"$2,384,015,000 ","$6,153 "
2011/12,New South Wales,All non-government,State and territory governments,"$899,135,000 ","$2,320 "
2011/12,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$3,283,150,000 ","$8,473 "
2011/12,New South Wales,All,Australian Government,"$3,899,827,000 ","$3,438 "
2011/12,New South Wales,All,State and territory governments,"$11,122,538,000 ","$9,805 "
2011/12,New South Wales,All,Total Australian/State/territory government expenditure,"$15,022,365,000 ","$13,243 "
2011/12,Victoria,Government,Australian Government,"$1,027,610,000 ","$1,890 "
2011/12,Victoria,Government,State and territory governments,"$6,476,666,000 ","$11,911 "
2011/12,Victoria,Government,Total Australian/State/territory government expenditure,"$7,504,276,000 ","$13,801 "
2011/12,Victoria,All non-government,Australian Government,"$1,996,561,000 ","$6,254 "
2011/12,Victoria,All non-government,State and territory governments,"$580,197,000 ","$1,817 "
2011/12,Victoria,All non-government,Total Australian/State/territory government expenditure,"$2,576,758,000 ","$8,072 "
2011/12,Victoria,All,Australian Government,"$3,024,171,000 ","$3,504 "
2011/12,Victoria,All,State and territory governments,"$7,056,863,000 ","$8,177 "
2011/12,Victoria,All,Total Australian/State/territory government expenditure,"$10,081,034,000 ","$11,681 "
2011/12,Queensland,Government,Australian Government,"$917,217,000 ","$1,848 "
2011/12,Queensland,Government,State and territory governments,"$6,786,762,000 ","$13,677 "
2011/12,Queensland,Government,Total Australian/State/territory government expenditure,"$7,703,979,000 ","$15,526 "
2011/12,Queensland,All non-government,Australian Government,"$1,567,991,000 ","$6,346 "
2011/12,Queensland,All non-government,State and territory governments,"$599,985,000 ","$2,428 "
2011/12,Queensland,All non-government,Total Australian/State/territory government expenditure,"$2,167,976,000 ","$8,774 "
2011/12,Queensland,All,Australian Government,"$2,485,208,000 ","$3,344 "
2011/12,Queensland,All,State and territory governments,"$7,386,747,000 ","$9,938 "
2011/12,Queensland,All,Total Australian/State/territory government expenditure,"$9,871,955,000 ","$13,281 "
2011/12,South Australia,Government,Australian Government,"$346,516,000 ","$2,085 "
2011/12,South Australia,Government,State and territory governments,"$2,366,247,000 ","$14,238 "
2011/12,South Australia,Government,Total Australian/State/territory government expenditure,"$2,712,763,000 ","$16,323 "
2011/12,South Australia,All non-government,Australian Government,"$625,857,000 ","$6,692 "
2011/12,South Australia,All non-government,State and territory governments,"$164,538,000 ","$1,759 "
2011/12,South Australia,All non-government,Total Australian/State/territory government expenditure,"$790,395,000 ","$8,451 "
2011/12,South Australia,All,Australian Government,"$972,373,000 ","$3,744 "
2011/12,South Australia,All,State and territory governments,"$2,530,785,000 ","$9,745 "
2011/12,South Australia,All,Total Australian/State/territory government expenditure,"$3,503,158,000 ","$13,489 "
2011/12,Western Australia,Government,Australian Government,"$451,789,000 ","$1,872 "
2011/12,Western Australia,Government,State and territory governments,"$4,068,211,000 ","$16,859 "
2011/12,Western Australia,Government,Total Australian/State/territory government expenditure,"$4,520,000,000 ","$18,731 "
2011/12,Western Australia,All non-government,Australian Government,"$786,808,000 ","$6,124 "
2011/12,Western Australia,All non-government,State and territory governments,"$417,673,000 ","$3,251 "
2011/12,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,204,481,000 ","$9,375 "
2011/12,Western Australia,All,Australian Government,"$1,238,597,000 ","$3,349 "
2011/12,Western Australia,All,State and territory governments,"$4,485,884,000 ","$12,131 "
2011/12,Western Australia,All,Total Australian/State/territory government expenditure,"$5,724,481,000 ","$15,480 "
2011/12,Tasmania,Government,Australian Government,"$131,326,000 ","$2,261 "
2011/12,Tasmania,Government,State and territory governments,"$793,672,000 ","$13,666 "
2011/12,Tasmania,Government,Total Australian/State/territory government expenditure,"$924,998,000 ","$15,927 "
2011/12,Tasmania,All non-government,Australian Government,"$159,332,000 ","$6,725 "
2011/12,Tasmania,All non-government,State and territory governments,"$54,404,000 ","$2,296 "
2011/12,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$213,736,000 ","$9,021 "
2011/12,Tasmania,All,Australian Government,"$290,658,000 ","$3,555 "
2011/12,Tasmania,All,State and territory governments,"$848,076,000 ","$10,372 "
2011/12,Tasmania,All,Total Australian/State/territory government expenditure,"$1,138,734,000 ","$13,926 "
2011/12,Northern Territory,Government,Australian Government,"$124,034,000 ","$4,232 "
2011/12,Northern Territory,Government,State and territory governments,"$573,068,000 ","$19,555 "
2011/12,Northern Territory,Government,Total Australian/State/territory government expenditure,"$697,102,000 ","$23,787 "
2011/12,Northern Territory,All non-government,Australian Government,"$84,558,000 ","$8,142 "
2011/12,Northern Territory,All non-government,State and territory governments,"$50,535,000 ","$4,866 "
2011/12,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$135,093,000 ","$13,008 "
2011/12,Northern Territory,All,Australian Government,"$208,592,000 ","$5,255 "
2011/12,Northern Territory,All,State and territory governments,"$623,603,000 ","$15,711 "
2011/12,Northern Territory,All,Total Australian/State/territory government expenditure,"$832,195,000 ","$20,967 "
2011/12,Australian Capital Territory,Government,Australian Government,"$64,376,000 ","$1,833 "
2011/12,Australian Capital Territory,Government,State and territory governments,"$666,190,000 ","$18,972 "
2011/12,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$730,566,000 ","$20,806 "
2011/12,Australian Capital Territory,All non-government,Australian Government,"$145,884,000 ","$5,526 "
2011/12,Australian Capital Territory,All non-government,State and territory governments,"$49,437,000 ","$1,873 "
2011/12,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$195,321,000 ","$7,398 "
2011/12,Australian Capital Territory,All,Australian Government,"$210,260,000 ","$3,418 "
2011/12,Australian Capital Territory,All,State and territory governments,"$715,627,000 ","$11,633 "
2011/12,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$925,887,000 ","$15,051 "
2011/12,Australia,Government,Australian Government,"$4,578,680,000 ","$1,976 "
2011/12,Australia,Government,State and territory governments,"$31,954,218,000 ","$13,792 "
2011/12,Australia,Government,Total Australian/State/territory government expenditure,"$36,532,898,000 ","$15,768 "
2011/12,Australia,All non-government,Australian Government,"$7,751,006,000 ","$6,270 "
2011/12,Australia,All non-government,State and territory governments,"$2,815,904,000 ","$2,278 "
2011/12,Australia,All non-government,Total Australian/State/territory government expenditure,"$10,566,910,000 ","$8,547 "
2011/12,Australia,All,Australian Government,"$12,329,686,000 ","$3,470 "
2011/12,Australia,All,State and territory governments,"$34,770,122,000 ","$9,786 "
2011/12,Australia,All,Total Australian/State/territory government expenditure,"$47,099,808,000 ","$13,256 "
2010/11,New South Wales,Government,Australian Government,"$1,307,778,000 ","$1,758 "
2010/11,New South Wales,Government,State and territory governments,"$9,439,374,000 ","$12,690 "
2010/11,New South Wales,Government,Total Australian/State/territory government expenditure,"$10,747,152,000 ","$14,448 "
2010/11,New South Wales,All non-government,Australian Government,"$2,208,934,000 ","$5,794 "
2010/11,New South Wales,All non-government,State and territory governments,"$852,556,000 ","$2,236 "
2010/11,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$3,061,490,000 ","$8,030 "
2010/11,New South Wales,All,Australian Government,"$3,516,712,000 ","$3,126 "
2010/11,New South Wales,All,State and territory governments,"$10,291,930,000 ","$9,148 "
2010/11,New South Wales,All,Total Australian/State/territory government expenditure,"$13,808,642,000 ","$12,273 "
2010/11,Victoria,Government,Australian Government,"$865,952,000 ","$1,603 "
2010/11,Victoria,Government,State and territory governments,"$6,399,441,000 ","$11,846 "
2010/11,Victoria,Government,Total Australian/State/territory government expenditure,"$7,265,393,000 ","$13,449 "
2010/11,Victoria,All non-government,Australian Government,"$1,823,807,000 ","$5,808 "
2010/11,Victoria,All non-government,State and territory governments,"$543,226,000 ","$1,730 "
2010/11,Victoria,All non-government,Total Australian/State/territory government expenditure,"$2,367,033,000 ","$7,537 "
2010/11,Victoria,All,Australian Government,"$2,689,759,000 ","$3,149 "
2010/11,Victoria,All,State and territory governments,"$6,942,667,000 ","$8,127 "
2010/11,Victoria,All,Total Australian/State/territory government expenditure,"$9,632,426,000 ","$11,276 "
2010/11,Queensland,Government,Australian Government,"$784,608,000 ","$1,601 "
2010/11,Queensland,Government,State and territory governments,"$6,492,392,000 ","$13,252 "
2010/11,Queensland,Government,Total Australian/State/territory government expenditure,"$7,277,000,000 ","$14,853 "
2010/11,Queensland,All non-government,Australian Government,"$1,443,703,000 ","$5,970 "
2010/11,Queensland,All non-government,State and territory governments,"$599,675,000 ","$2,480 "
2010/11,Queensland,All non-government,Total Australian/State/territory government expenditure,"$2,043,378,000 ","$8,450 "
2010/11,Queensland,All,Australian Government,"$2,228,311,000 ","$3,045 "
2010/11,Queensland,All,State and territory governments,"$7,092,067,000 ","$9,692 "
2010/11,Queensland,All,Total Australian/State/territory government expenditure,"$9,320,378,000 ","$12,737 "
2010/11,South Australia,Government,Australian Government,"$300,313,000 ","$1,810 "
2010/11,South Australia,Government,State and territory governments,"$2,285,019,000 ","$13,775 "
2010/11,South Australia,Government,Total Australian/State/territory government expenditure,"$2,585,332,000 ","$15,586 "
2010/11,South Australia,All non-government,Australian Government,"$569,901,000 ","$6,156 "
2010/11,South Australia,All non-government,State and territory governments,"$157,429,000 ","$1,701 "
2010/11,South Australia,All non-government,Total Australian/State/territory government expenditure,"$727,330,000 ","$7,856 "
2010/11,South Australia,All,Australian Government,"$870,214,000 ","$3,367 "
2010/11,South Australia,All,State and territory governments,"$2,442,448,000 ","$9,450 "
2010/11,South Australia,All,Total Australian/State/territory government expenditure,"$3,312,662,000 ","$12,817 "
2010/11,Western Australia,Government,Australian Government,"$379,144,000 ","$1,608 "
2010/11,Western Australia,Government,State and territory governments,"$3,982,555,000 ","$16,892 "
2010/11,Western Australia,Government,Total Australian/State/territory government expenditure,"$4,361,699,000 ","$18,500 "
2010/11,Western Australia,All non-government,Australian Government,"$724,346,000 ","$5,744 "
2010/11,Western Australia,All non-government,State and territory governments,"$382,895,000 ","$3,036 "
2010/11,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$1,107,241,000 ","$8,780 "
2010/11,Western Australia,All,Australian Government,"$1,103,490,000 ","$3,049 "
2010/11,Western Australia,All,State and territory governments,"$4,365,450,000 ","$12,063 "
2010/11,Western Australia,All,Total Australian/State/territory government expenditure,"$5,468,940,000 ","$15,113 "
2010/11,Tasmania,Government,Australian Government,"$108,703,000 ","$1,859 "
2010/11,Tasmania,Government,State and territory governments,"$776,613,000 ","$13,280 "
2010/11,Tasmania,Government,Total Australian/State/territory government expenditure,"$885,316,000 ","$15,139 "
2010/11,Tasmania,All non-government,Australian Government,"$148,915,000 ","$6,303 "
2010/11,Tasmania,All non-government,State and territory governments,"$53,481,000 ","$2,264 "
2010/11,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$202,396,000 ","$8,567 "
2010/11,Tasmania,All,Australian Government,"$257,618,000 ","$3,138 "
2010/11,Tasmania,All,State and territory governments,"$830,094,000 ","$10,110 "
2010/11,Tasmania,All,Total Australian/State/territory government expenditure,"$1,087,712,000 ","$13,248 "
2010/11,Northern Territory,Government,Australian Government,"$110,769,000 ","$3,802 "
2010/11,Northern Territory,Government,State and territory governments,"$551,349,000 ","$18,925 "
2010/11,Northern Territory,Government,Total Australian/State/territory government expenditure,"$662,118,000 ","$22,727 "
2010/11,Northern Territory,All non-government,Australian Government,"$82,608,000 ","$8,058 "
2010/11,Northern Territory,All non-government,State and territory governments,"$64,985,000 ","$6,339 "
2010/11,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$147,593,000 ","$14,397 "
2010/11,Northern Territory,All,Australian Government,"$193,377,000 ","$4,910 "
2010/11,Northern Territory,All,State and territory governments,"$616,334,000 ","$15,649 "
2010/11,Northern Territory,All,Total Australian/State/territory government expenditure,"$809,711,000 ","$20,559 "
2010/11,Australian Capital Territory,Government,Australian Government,"$55,266,000 ","$1,599 "
2010/11,Australian Capital Territory,Government,State and territory governments,"$631,353,000 ","$18,271 "
2010/11,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$686,619,000 ","$19,871 "
2010/11,Australian Capital Territory,All non-government,Australian Government,"$134,994,000 ","$5,179 "
2010/11,Australian Capital Territory,All non-government,State and territory governments,"$47,714,000 ","$1,831 "
2010/11,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$182,708,000 ","$7,009 "
2010/11,Australian Capital Territory,All,Australian Government,"$190,260,000 ","$3,139 "
2010/11,Australian Capital Territory,All,State and territory governments,"$679,067,000 ","$11,202 "
2010/11,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$869,327,000 ","$14,340 "
2010/11,Australia,Government,Australian Government,"$3,912,533,000 ","$1,703 "
2010/11,Australia,Government,State and territory governments,"$30,558,097,000 ","$13,299 "
2010/11,Australia,Government,Total Australian/State/territory government expenditure,"$34,470,630,000 ","$15,002 "
2010/11,Australia,All non-government,Australian Government,"$7,137,208,000 ","$5,871 "
2010/11,Australia,All non-government,State and territory governments,"$2,701,962,000 ","$2,222 "
2010/11,Australia,All non-government,Total Australian/State/territory government expenditure,"$9,839,170,000 ","$8,093 "
2010/11,Australia,All,Australian Government,"$11,049,741,000 ","$3,145 "
2010/11,Australia,All,State and territory governments,"$33,260,059,000 ","$9,466 "
2010/11,Australia,All,Total Australian/State/territory government expenditure,"$44,309,800,000 ","$12,611 "
2009/10,Australia,Government,Australian Government,"$3,561,513,000 ","$1,557 "
2009/10,Australia,Government,State and territory governments,"$29,332,876,000 ","$12,823 "
2009/10,Australia,Government,Total Australian/State/territory government expenditure,"$32,894,389,000 ","$14,380 "
2009/10,Australia,All non-government,Australian Government,"$6,509,679,000 ","$5,436 "
2009/10,Australia,All non-government,State and territory governments,"$2,384,989,000 ","$1,992 "
2009/10,Australia,All non-government,Total Australian/State/territory government expenditure,"$8,894,668,000 ","$7,428 "
2009/10,Australia,All,Australian Government,"$10,071,192,000 ","$2,890 "
2009/10,Australia,All,State and territory governments,"$31,717,864,000 ","$9,101 "
2009/10,Australia,All,Total Australian/State/territory government expenditure,"$41,789,056,000 ","$11,991 "
2008/09,Australia,Government,Australian Government,"$3,440,779,000 ","$1,510 "
2008/09,Australia,Government,State and territory governments,"$27,415,480,000 ","$12,034 "
2008/09,Australia,Government,Total Australian/State/territory government expenditure,"$30,856,259,000 ","$13,544 "
2008/09,Australia,All non-government,Australian Government,"$5,786,659,000 ","$4,903 "
2008/09,Australia,All non-government,State and territory governments,"$2,300,372,000 ","$1,949 "
2008/09,Australia,All non-government,Total Australian/State/territory government expenditure,"$8,087,031,000 ","$6,852 "
2008/09,Australia,All,Australian Government,"$9,227,438,000 ","$2,668 "
2008/09,Australia,All,State and territory governments,"$29,715,852,000 ","$8,592 "
2008/09,Australia,All,Total Australian/State/territory government expenditure,"$38,943,290,000 ","$11,260 "
2007/08,Australia,Government,Australian Government,"$2,485,752,000 ","$1,092 "
